tableId,tableName,courseId,instructorId,lic,meetingURL,startTime,endTime,duration,capacity,students
T016,Morning Session - C1,C1,I001,I001,https://meet.google.com/abc-xyz-123,1743043200,1743054000,3 hr,100,"[{'userId': 'S001', 'userEmail': 'student001@example.com'}, {'userId': 'S002', 'userEmail': 'student002@example.com'}, {'userId': 'S100', 'userEmail': 'student100@example.com'}]"
T017,Afternoon Session - C2,C2,I002,I002,https://meet.google.com/def-xyz-456,1743054000,1743064800,3 hr,100,"[{'userId': 'S101', 'userEmail': 'student101@example.com'}, {'userId': 'S102', 'userEmail': 'student102@example.com'}, {'userId': 'S200', 'userEmail': 'student200@example.com'}]"
T018,Evening Session - C3,C3,I003,I003,https://meet.google.com/ghi-xyz-789,1743064800,1743075600,3 hr,100,"[{'userId': 'S201', 'userEmail': 'student201@example.com'}, {'userId': 'S202', 'userEmail': 'student202@example.com'}, {'userId': 'S300', 'userEmail': 'student300@example.com'}]"
T019,Night Session - C4,C4,I004,I004,https://meet.google.com/jkl-xyz-012,1743043200,1743054000,3 hr,100,"[{'userId': 'S301', 'userEmail': 'student301@example.com'}, {'userId': 'S302', 'userEmail': 'student302@example.com'}, {'userId': 'S400', 'userEmail': 'student400@example.com'}]"
T020,Late Night Session - C5,C5,I005,I005,https://meet.google.com/mno-xyz-345,1743054000,1743064800,3 hr,100,"[{'userId': 'S401', 'userEmail': 'student401@example.com'}, {'userId': 'S402', 'userEmail': 'student402@example.com'}, {'userId': 'S500', 'userEmail': 'student500@example.com'}]"
T021,Morning Session - C1,C1,I001,I001,https://meet.google.com/abc-xyz-123,1743129600,1743140400,3 hr,100,"[{'userId': 'S001', 'userEmail': 'student001@example.com'}, {'userId': 'S002', 'userEmail': 'student002@example.com'}, {'userId': 'S100', 'userEmail': 'student100@example.com'}]"
T022,Afternoon Session - C2,C2,I002,I002,https://meet.google.com/def-xyz-456,1743140400,1743151200,3 hr,100,"[{'userId': 'S101', 'userEmail': 'student101@example.com'}, {'userId': 'S102', 'userEmail': 'student102@example.com'}, {'userId': 'S200', 'userEmail': 'student200@example.com'}]"
T023,Evening Session - C3,C3,I003,I003,https://meet.google.com/ghi-xyz-789,1743151200,1743162000,3 hr,100,"[{'userId': 'S201', 'userEmail': 'student201@example.com'}, {'userId': 'S202', 'userEmail': 'student202@example.com'}, {'userId': 'S300', 'userEmail': 'student300@example.com'}]"
T024,Night Session - C4,C4,I004,I004,https://meet.google.com/jkl-xyz-012,1743129600,1743140400,3 hr,100,"[{'userId': 'S301', 'userEmail': 'student301@example.com'}, {'userId': 'S302', 'userEmail': 'student302@example.com'}, {'userId': 'S400', 'userEmail': 'student400@example.com'}]"
T025,Late Night Session - C5,C5,I005,I005,https://meet.google.com/mno-xyz-345,1743140400,1743151200,3 hr,100,"[{'userId': 'S401', 'userEmail': 'student401@example.com'}, {'userId': 'S402', 'userEmail': 'student402@example.com'}, {'userId': 'S500', 'userEmail': 'student500@example.com'}]"
